Period,HPI
1968-04,1.89
1968-05,1.89
1968-06,1.89
1968-07,1.95
1968-08,1.95
1968-09,1.95
1968-10,1.94
1968-11,1.94
1968-12,1.94
1969-01,1.97
1969-02,1.97
1969-03,1.97
1969-04,2
1969-05,2
1969-06,2
1969-07,2.02
1969-08,2.02
1969-09,2.02
1969-10,2.05
1969-11,2.05
1969-12,2.05
1970-01,2.06
1970-02,2.06
1970-03,2.06
1970-04,2.09
1970-05,2.09
1970-06,2.09
1970-07,2.18
1970-08,2.18
1970-09,2.18
1970-10,2.18
1970-11,2.18
1970-12,2.18
1971-01,2.24
1971-02,2.24
1971-03,2.24
1971-04,2.3
1971-05,2.3
1971-06,2.3
1971-07,2.44
1971-08,2.44
1971-09,2.44
1971-10,2.55
1971-11,2.55
1971-12,2.55
1972-01,2.71
1972-02,2.71
1972-03,2.71
1972-04,2.96
1972-05,2.96
1972-06,2.96
1972-07,3.41
1972-08,3.41
1972-09,3.41
1972-10,3.65
1972-11,3.65
1972-12,3.65
1973-01,4.07
1973-02,4.07
1973-03,4.07
1973-04,4.27
1973-05,4.27
1973-06,4.27
1973-07,4.56
1973-08,4.56
1973-09,4.56
1973-10,4.61
1973-11,4.61
1973-12,4.61
1974-01,4.68
1974-02,4.68
1974-03,4.68
1974-04,4.69
1974-05,4.69
1974-06,4.69
1974-07,4.73
1974-08,4.73
1974-09,4.73
1974-10,4.79
1974-11,4.79
1974-12,4.79
1975-01,4.81
1975-02,4.81
1975-03,4.81
1975-04,4.94
1975-05,4.94
1975-06,4.94
1975-07,5.09
1975-08,5.09
1975-09,5.09
1975-10,5.14
1975-11,5.14
1975-12,5.14
1976-01,5.25
1976-02,5.25
1976-03,5.25
1976-04,5.39
1976-05,5.39
1976-06,5.39
1976-07,5.52
1976-08,5.52
1976-09,5.52
1976-10,5.6
1976-11,5.6
1976-12,5.6
1977-01,5.65
1977-02,5.65
1977-03,5.65
1977-04,5.73
1977-05,5.73
1977-06,5.73
1977-07,5.9
1977-08,5.9
1977-09,5.9
1977-10,6.08
1977-11,6.08
1977-12,6.08
1978-01,6.22
1978-02,6.22
1978-03,6.22
1978-04,6.52
1978-05,6.52
1978-06,6.52
1978-07,6.98
1978-08,6.98
1978-09,6.98
1978-10,7.47
1978-11,7.47
1978-12,7.47
1979-01,7.86
1979-02,7.86
1979-03,7.86
1979-04,8.47
1979-05,8.47
1979-06,8.47
1979-07,9.12
1979-08,9.12
1979-09,9.12
1979-10,9.72
1979-11,9.72
1979-12,9.72
1980-01,10.11
1980-02,10.11
1980-03,10.11
1980-04,10.51
1980-05,10.51
1980-06,10.51
1980-07,10.94
1980-08,10.94
1980-09,10.94
1980-10,10.96
1980-11,10.96
1980-12,10.96
1981-01,10.98
1981-02,10.98
1981-03,10.98
1981-04,11.28
1981-05,11.28
1981-06,11.28
1981-07,11.46
1981-08,11.46
1981-09,11.46
1981-10,11.24
1981-11,11.24
1981-12,11.24
1982-01,10.96
1982-02,10.96
1982-03,10.96
1982-04,11.44
1982-05,11.44
1982-06,11.44
1982-07,11.73
1982-08,11.73
1982-09,11.73
1982-10,11.9
1982-11,11.9
1982-12,11.9
1983-01,12.25
1983-02,12.25
1983-03,12.25
1983-04,12.68
1983-05,12.68
1983-06,12.68
1983-07,13.21
1983-08,13.21
1983-09,13.21
1983-10,13.31
1983-11,13.31
1983-12,13.31
1984-01,13.42
1984-02,13.42
1984-03,13.42
1984-04,13.85
1984-05,13.85
1984-06,13.85
1984-07,14.38
1984-08,14.38
1984-09,14.38
1984-10,14.59
1984-11,14.59
1984-12,14.59
1985-01,14.59
1985-02,14.59
1985-03,14.59
1985-04,15.12
1985-05,15.12
1985-06,15.12
1985-07,15.44
1985-08,15.44
1985-09,15.44
1985-10,15.98
1985-11,15.98
1985-12,15.98
1986-01,16.3
1986-02,16.3
1986-03,16.3
1986-04,17.04
1986-05,17.04
1986-06,17.04
1986-07,17.79
1986-08,17.79
1986-09,17.79
1986-10,18.32
1986-11,18.32
1986-12,18.32
1987-01,18.85
1987-02,18.85
1987-03,18.85
1987-04,19.71
1987-05,19.71
1987-06,19.71
1987-07,20.66
1987-08,20.66
1987-09,20.66
1987-10,21.89
1987-11,21.89
1987-12,21.89
1988-01,22.81
1988-02,22.81
1988-03,22.81
1988-04,24.18
1988-05,24.18
1988-06,24.18
1988-07,27.4
1988-08,27.4
1988-09,27.4
1988-10,29.08
1988-11,29.08
1988-12,29.08
1989-01,29.69
1989-02,29.69
1989-03,29.69
1989-04,30.76
1989-05,30.76
1989-06,30.76
1989-07,31.84
1989-08,31.84
1989-09,31.84
1989-10,31.22
1989-11,31.22
1989-12,31.22
1990-01,30.55
1990-02,30.55
1990-03,30.55
1990-04,30.28
1990-05,30.28
1990-06,30.28
1990-07,30.83
1990-08,30.83
1990-09,30.83
1990-10,30.37
1990-11,30.37
1990-12,30.37
1991-01,29.94
1991-02,29.94
1991-03,29.94
1991-04,29.82
1991-05,29.82
1991-06,29.82
1991-07,30.4
1991-08,30.4
1991-09,30.4
1991-10,30.12
1991-11,30.12
1991-12,30.12
1992-01,29.64
1992-02,29.64
1992-03,29.64
1992-04,28.93
1992-05,28.93
1992-06,28.93
1992-07,29.02
1992-08,29.02
1992-09,29.02
1992-10,27.91
1992-11,27.91
1992-12,27.91
1993-01,28.05
1993-02,28.05
1993-03,28.05
1993-04,28.28
1993-05,28.28
1993-06,28.28
1993-07,28.88
1993-08,28.88
1993-09,28.88
1993-10,28.34
1993-11,28.34
1993-12,28.34
1994-01,28.65
1994-02,28.65
1994-03,28.65
1994-04,29.05
1994-05,29.05
1994-06,29.05
1994-07,29.53
1994-08,29.53
1994-09,29.53
1994-10,29.33
1994-11,29.33
1994-12,29.33
1995-01,29.08
1995-02,29.08
1995-03,29.08
1995-04,29.39
1995-05,29.39
1995-06,29.39
1995-07,29.64
1995-08,29.64
1995-09,29.64
1995-10,29.25
1995-11,29.25
1995-12,29.25
1996-01,29.67
1996-02,29.67
1996-03,29.67
1996-04,29.7
1996-05,29.7
1996-06,29.7
1996-07,30.87
1996-08,30.87
1996-09,30.87
1996-10,31.41
1996-11,31.41
1996-12,31.41
1997-01,31.84
1997-02,31.84
1997-03,31.84
1997-04,32.49
1997-05,32.49
1997-06,32.49
1997-07,34.14
1997-08,34.14
1997-09,34.14
1997-10,33.88
1997-11,33.88
1997-12,33.88
1998-01,34.74
1998-02,34.74
1998-03,34.74
1998-04,36.59
1998-05,36.59
1998-06,36.59
1998-07,38.18
1998-08,38.18
1998-09,38.18
1998-10,38.01
1998-11,38.01
1998-12,38.01
1999-01,38.24
1999-02,38.24
1999-03,38.24
1999-04,39.86
1999-05,39.86
1999-06,39.86
1999-07,42.19
1999-08,42.19
1999-09,42.19
1999-10,43.27
1999-11,43.27
1999-12,43.27
2000-01,44.38
2000-02,44.38
2000-03,44.38
2000-04,46.8
2000-05,46.8
2000-06,46.8
2000-07,47.68
2000-08,47.68
2000-09,47.68
2000-10,49.1
2000-11,49.1
2000-12,49.1
2001-01,48.85
2001-02,48.85
2001-03,48.85
2001-04,50.61
2001-05,50.61
2001-06,50.61
2001-07,52.43
2001-08,52.43
2001-09,52.43
2001-10,51.38
2001-11,51.38
2001-12,51.38
2002-01,51.2
2002-02,53.06
2002-03,54.92
2002-04,55.66
2002-05,57.09
2002-06,59.43
2002-07,59.9
2002-08,61.23
2002-09,62.72
2002-10,63.19
2002-11,63.83
2002-12,65.95
2003-01,65.47
2003-02,64.78
2003-03,66.16
2003-04,67.76
2003-05,67.28
2003-06,67.44
2003-07,68.6
2003-08,69.83
2003-09,69.61
2003-10,70.83
2003-11,70.04
2003-12,71.42
2004-01,71.84
2004-02,71.15
2004-03,71.31
2004-04,74.55
2004-05,75.45
2004-06,76.78
2004-07,78.42
2004-08,79.32
2004-09,79.16
2004-10,79.75
2004-11,79.64
2004-12,79.06
2005-01,79
2005-02,78.93
2005-03,79.58
2005-04,80.71
2005-05,81.57
2005-06,82.22
2005-07,83.28
2005-08,83.62
2005-09,83.49
2005-10,83.32
2005-11,83.57
2005-12,84.03
2006-01,83.9
2006-02,84.04
2006-03,84.72
2006-04,86.56
2006-05,87.38
2006-06,88.21
2006-07,89.48
2006-08,90.23
2006-09,90.6
2006-10,91.13
2006-11,91.6
2006-12,92.74
2007-01,92.71
2007-02,92.97
2007-03,93.69
2007-04,95.58
2007-05,96.68
2007-06,97.74
2007-07,98.96
2007-08,99.54
2007-09,99.67
2007-10,99.44
2007-11,99.38
2007-12,99.23
2008-01,97.44
2008-02,96.6
2008-03,95.9
2008-04,96.06
2008-05,96.64
2008-06,95.37
2008-07,94.33
2008-08,92.36
2008-09,90.03
2008-10,88.21
2008-11,85.72
2008-12,84.42
2009-01,82.47
2009-02,81.51
2009-03,81.01
2009-04,81.74
2009-05,82.87
2009-06,83.69
2009-07,85.19
2009-08,86.03
2009-09,86.7
2009-10,87.29
2009-11,87.58
2009-12,88.16
2010-01,87.83
2010-02,88.05
2010-03,88.05
2010-04,89.18
2010-05,89.61
2010-06,90.05
2010-07,90.96
2010-08,90.95
2010-09,90.72
2010-10,89.71
2010-11,88.64
2010-12,88.48
2011-01,87.75
2011-02,87.28
2011-03,86.88
2011-04,88.23
2011-05,87.83
2011-06,87.98
2011-07,89.09
2011-08,89.14
2011-09,88.92
2011-10,87.94
2011-11,87.99
2011-12,87.61
2012-01,87.02
2012-02,86.78
2012-03,87.04
2012-04,88.04
2012-05,88.32
2012-06,89.19
2012-07,89.53
2012-08,89.63
2012-09,89.32
2012-10,88.68
2012-11,88.76
2012-12,88.55
2013-01,87.96
2013-02,87.95
2013-03,88.47
2013-04,89.34
2013-05,89.81
2013-06,90.55
2013-07,91.57
2013-08,92.3
2013-09,92.36
2013-10,91.98
2013-11,92.49
2013-12,93.34
2014-01,93.45
2014-02,93.84
2014-03,94.16
2014-04,96.26
2014-05,97.28
2014-06,98.12
2014-07,99.5
2014-08,100.66
2014-09,100.77
2014-10,100.62
2014-11,100.29
2014-12,100.53
2015-01,100
2015-02,100.09
2015-03,100.46
2015-04,101.34
2015-05,102.44
2015-06,103.22
2015-07,104.97
2015-08,105.93
2015-09,106.15
2015-10,106.29
2015-11,107.11
2015-12,107.48
2016-01,107.76
2016-02,107.83
2016-03,108.75
2016-04,109.32
2016-05,110.6
2016-06,111.65
2016-07,112.83
2016-08,112.84
2016-09,112.67
2016-10,112.29
2016-11,112.82
2016-12,113.03
2017-01,112.81
2017-02,113.05
2017-03,112.8
2017-04,114.59
2017-05,115.28
2017-06,116.26
2017-07,117.77
2017-08,118.31
2017-09,117.87
2017-10,117.96
2017-11,117.67
2017-12,118.1
2018-01,117.75
2018-02,117.92
2018-03,117.3
2018-04,118.43
2018-05,119
2018-06,119.75
2018-07,121.45
2018-08,121.97
2018-09,121.97